SLV Bakery
31-Dec-2021
Sl.no.,Particulars,Debit,Credit
1.,Capital A/c, ,Rs. 500000.0
2.,Rent A/c,Rs. 60000.0, 
3.,Maintenance A/c,Rs. 5000.0, 
4.,Salaries A/c,Rs. 380000.0, 
5.,Purchases A/c,Rs. 200000.0, 
6.,Sales A/c, ,Rs. 300000.0
7.,Electricity A/c,Rs. 10000.0, 
8.,Accounts Receivable A/c,Rs. 20000.0, 
9.,Accounts Payable A/c, ,Rs. 5000.0
10.,Delivery Charges A/c,Rs. 40000.0, 
11.,Gas Charges A/c,Rs. 50000.0, 
12.,Taxes A/c,Rs. 30000.0, 
13.,Suspense A/c,Rs. 10000.0, 
 ,Total,Rs. 805000.0,Rs. 805000.0
